Z_SCORE_AMOUNT_ANOMALY,GEO_VELOCITY_IMPOSSIBLE_TRAVEL,POISSON_VELOCITY_ANOMALY,CIRCULAR_TIME_ANOMALY,DAILY_VOLUME_SPIKE,TRANSFER_PURPOSE_ANOMALY,GRAPH_DROPPER_NETWORK,GRAPH_CYCLE_DETECTED,SHARED_ATTRIBUTE_ANOMALY,GRAPH_PAGERANK_ANOMALY,GRAPH_FAN_OUT_SMURFING,is_fraud
0.0,0.0,1.0,0.0,9.58,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,21560.7347179193,1.0,0.0,20.93,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,31463.065055276802,1.0,0.0,1748.4,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,0.0,1.0,0.0,37.11,0.0,1.0,0.0,1.0,0.0,1.0,0
0.0,0.0,1.0,0.0,433.29,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,10212.349429099533,1.0,0.0,377.13,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,0.0,1.0,0.0,7.12,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,0.0,1.0,0.0,268.18,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,38670.617834367855,1.0,0.0,17.89,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,0.0,1.0,0.0,41.56,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,58085.47471983056,1.0,0.0,43.09,0.0,2.0,0.0,1.0,1.2312543921912351,2.0,1
0.0,45643.863242346335,1.0,0.0,5.22,25.0,1.0,0.0,1.0,0.0,1.0,0
0.0,0.0,1.0,0.0,82.35,0.0,1.0,0.0,1.0,0.6655298844957628,1.0,0
0.0,1.0954373442707317,1.0,0.0,36.199999999999996,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,0.0,1.0,0.0,12.09,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,37062.34073073514,1.0,0.0,9880.41,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,5.932262144535448,1.0,0.0,44.58,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,0.0,1.0,0.0,344.82,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,0.0,1.0,0.0,38.22,0.0,0.0,0.0,1.0,0.0,0.0,0
